sku,week,week_start,week_end,n_days,actual,predicted,accuracy_pct
IC-1177117,6,2026-07-01,2026-07-07,7,99,115.7,72.1
IC-1177117,7,2026-07-08,2026-07-14,7,76,87.5,35.1
IC-1177117,8,2026-07-15,2026-07-21,7,108,117.3,86.3
IC-1178591,1,2026-05-27,2026-06-02,7,4,16.6,-234.3
IC-1178591,2,2026-06-03,2026-06-09,7,5,12.0,-59.1
IC-1178591,3,2026-06-10,2026-06-16,7,27,63.2,-37.5
IC-1178591,4,2026-06-17,2026-06-23,7,14,30.3,-35.4
IC-1178591,5,2026-06-24,2026-06-30,7,5,12.1,-61.0
IC-1178591,6,2026-07-01,2026-07-07,7,3,12.2,-206.4
IC-1178591,7,2026-07-08,2026-07-14,7,24,32.0,11.0
IC-1178591,8,2026-07-15,2026-07-21,7,33,41.7,43.4
IC-1178594,1,2026-05-27,2026-06-02,7,7,17.3,-51.7
IC-1178594,2,2026-06-03,2026-06-09,7,5,11.7,-47.5
IC-1178594,3,2026-06-10,2026-06-16,7,25,66.3,-65.3
IC-1178594,4,2026-06-17,2026-06-23,7,21,51.8,-75.5
IC-1178594,5,2026-06-24,2026-06-30,7,8,13.6,27.1
IC-1178594,6,2026-07-01,2026-07-07,7,10,15.4,31.1
IC-1178594,7,2026-07-08,2026-07-14,7,28,35.6,6.9
IC-1178594,8,2026-07-15,2026-07-21,7,36,48.5,38.5
IC-1185817,1,2026-05-27,2026-06-02,7,0,4.1,
IC-1185817,2,2026-06-03,2026-06-09,7,0,4.1,
IC-1185817,3,2026-06-10,2026-06-16,7,0,4.1,
IC-1185817,4,2026-06-17,2026-06-23,7,4,8.5,-12.9
IC-1185817,5,2026-06-24,2026-06-30,7,10,16.7,32.5
IC-1185817,6,2026-07-01,2026-07-07,7,17,17.8,16.3
IC-1185817,7,2026-07-08,2026-07-14,7,124,39.7,23.0
IC-1185817,8,2026-07-15,2026-07-21,7,62,53.2,19.4
