sku,product_id,channel,date,forecast_horizon_day,y_pred,as_of_date,model_version
IC-1097379,25010,naheed_web,2026-07-07,7,9.165852198016552,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-08,8,9.603614268582117,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-09,9,8.501070944825981,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-10,10,7.657237932700148,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-11,11,9.250249320953941,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-12,12,8.702787688909837,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-13,13,10.285420041773172,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-14,14,8.87602113522782,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-01,1,25.282384110835558,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-02,2,10.58375819786249,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-03,3,13.628036287768744,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-04,4,16.58662031225852,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-05,5,17.651133448769137,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-06,6,20.11417478628667,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-07,7,16.45829464754561,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-08,8,15.547945993609446,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-09,9,11.889531836073951,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-10,10,12.858781812017623,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-11,11,18.43559813426226,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-12,12,18.25882278831284,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-13,13,18.3337667521856,2026-06-30,lgbm_global_v1
IC-1116441,2966,naheed_web,2026-07-14,14,20.996977750748467,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-01,1,18.690567558893317,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-02,2,16.880111070936973,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-03,3,16.75758712945997,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-04,4,15.04250800416769,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-05,5,13.461385960014406,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-06,6,14.26523484997724,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-07,7,15.336054708090145,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-08,8,16.127593065631945,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-09,9,13.696442313494996,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-10,10,10.806265035366515,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-11,11,11.709696501582897,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-12,12,15.428063439697848,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-13,13,14.221759703441826,2026-06-30,lgbm_global_v1
IC-1133439,9340,naheed_web,2026-07-14,14,14.140980060856961,2026-06-30,lgbm_global_v1
